"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"Reference","Global","Global","emissCO2BySector","Year",1975,"Vint_1975","CO2 (MTC)",9.72984788
"Reference","Global","Global","emissCO2BySector","Year",1990,"Vint_1990","CO2 (MTC)",72.647032411452
"Reference","Global","Global","emissCO2BySector","Year",2005,"Vint_2005","CO2 (MTC)",144.6825385844
"Reference","Global","Global","emissCO2BySector","Year",2010,"Vint_2010","CO2 (MTC)",169.797675674
"Reference","Global","Global","emissCO2BySector","Year",2015,"Vint_2015","CO2 (MTC)",181.4747812793
"Reference","Global","Global","emissCO2BySector","Year",2020,"Vint_2020","CO2 (MTC)",183.1592762534
"Reference","Global","Global","emissCO2BySector","Year",2025,"Vint_2025","CO2 (MTC)",189.4218213555
"Reference","Global","Global","emissCO2BySector","Year",2030,"Vint_2030","CO2 (MTC)",191.447353755
"Reference","Global","Global","emissCO2BySector","Year",2035,"Vint_2035","CO2 (MTC)",189.3455103921
"Reference","Global","Global","emissCO2BySector","Year",2040,"Vint_2040","CO2 (MTC)",184.196268926
"Reference","Global","Global","emissCO2BySector","Year",2045,"Vint_2045","CO2 (MTC)",176.6408498803
"Reference","Global","Global","emissCO2BySector","Year",2050,"Vint_2050","CO2 (MTC)",167.91371925948
"Reference","Global","Global","emissCO2BySector","Year",2055,"Vint_2055","CO2 (MTC)",160.27681595872
"Reference","Global","Global","emissCO2BySector","Year",2060,"Vint_2060","CO2 (MTC)",153.357493652909
"Reference","Global","Global","emissCO2BySector","Year",2065,"Vint_2065","CO2 (MTC)",147.23826804031
"Reference","Global","Global","emissCO2BySector","Year",2070,"Vint_2070","CO2 (MTC)",142.407579863038
"Reference","Global","Global","emissCO2BySector","Year",2075,"Vint_2075","CO2 (MTC)",136.314456440777
"Reference","Global","Global","emissCO2BySector","Year",2080,"Vint_2080","CO2 (MTC)",129.421577277614
"Reference","Global","Global","emissCO2BySector","Year",2085,"Vint_2085","CO2 (MTC)",123.495905711461
"Reference","Global","Global","emissCO2BySector","Year",2090,"Vint_2090","CO2 (MTC)",117.512245311188
"Reference","Global","Global","emissCO2BySector","Year",2095,"Vint_2095","CO2 (MTC)",111.687504905789
"Reference","Global","Global","emissCO2BySector","Year",2100,"Vint_2100","CO2 (MTC)",106.028956580478
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2010,"vint_2010","CO2 (GTC)",0.169797675674
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2011,"vint_2011","CO2 (GTC)",0.341391829133431
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2012,"vint_2012","CO2 (GTC)",0.515680699271008
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2013,"vint_2013","CO2 (GTC)",0.692664286086731
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2014,"vint_2014","CO2 (GTC)",0.8723425895806
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2015,"vint_2015","CO2 (GTC)",1.0538173708599
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2016,"vint_2016","CO2 (GTC)",1.23555130521214
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2017,"vint_2017","CO2 (GTC)",1.41767396917378
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2018,"vint_2018","CO2 (GTC)",1.60018536274484
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2019,"vint_2019","CO2 (GTC)",1.7830854859253
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2020,"vint_2020","CO2 (GTC)",1.9662447621787
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2021,"vint_2021","CO2 (GTC)",2.14954123285247
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2022,"vint_2022","CO2 (GTC)",2.3330434951568
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2023,"vint_2023","CO2 (GTC)",2.51675154909168
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2024,"vint_2024","CO2 (GTC)",2.70066539465712
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2025,"vint_2025","CO2 (GTC)",2.89008721601262
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2026,"vint_2026","CO2 (GTC)",3.07470923064308
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2027,"vint_2027","CO2 (GTC)",3.25779663093914
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2028,"vint_2028","CO2 (GTC)",3.43934941690079
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2029,"vint_2029","CO2 (GTC)",3.61936758852803
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2030,"vint_2030","CO2 (GTC)",3.81081494228303
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2031,"vint_2031","CO2 (GTC)",3.99330453446595
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2032,"vint_2032","CO2 (GTC)",4.17291026925774
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2033,"vint_2033","CO2 (GTC)",4.34963214665839
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2034,"vint_2034","CO2 (GTC)",4.5234701666679
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2035,"vint_2035","CO2 (GTC)",4.71281567706
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2036,"vint_2036","CO2 (GTC)",4.88859486749511
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2037,"vint_2037","CO2 (GTC)",5.06084987928283
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2038,"vint_2038","CO2 (GTC)",5.22958071242316
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2039,"vint_2039","CO2 (GTC)",5.39478736691609
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2040,"vint_2040","CO2 (GTC)",5.57898363584209
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2041,"vint_2041","CO2 (GTC)",5.74438870054517
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2042,"vint_2042","CO2 (GTC)",5.90612700028734
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2043,"vint_2043","CO2 (GTC)",6.06419853506859
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2044,"vint_2044","CO2 (GTC)",6.21860330488892
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2045,"vint_2045","CO2 (GTC)",6.39524415476922
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2046,"vint_2046","CO2 (GTC)",6.5472973022674
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2047,"vint_2047","CO2 (GTC)",6.69628691192639
"Reference","Global","Global","emissCO2CumGlobal2010to2100","year",2048,"vint_2048","CO2 (GTC)",6.8422129837462
