"scenario","region","subRegion","param","classLabel","class","xLabel","x","vintage","units","value"
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",1975,"Vint_1975","CO2 (MTC)",152.55533918
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",1990,"Vint_1990","CO2 (MTC)",384.342317851452
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2005,"Vint_2005","CO2 (MTC)",492.2085619543
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2010,"Vint_2010","CO2 (MTC)",495.092226738
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2015,"Vint_2015","CO2 (MTC)",510.2125596733
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2020,"Vint_2020","CO2 (MTC)",507.037768978
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2025,"Vint_2025","CO2 (MTC)",508.4379469307
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2030,"Vint_2030","CO2 (MTC)",503.1955771575
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2035,"Vint_2035","CO2 (MTC)",489.852899418
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2040,"Vint_2040","CO2 (MTC)",472.0062690042
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2045,"Vint_2045","CO2 (MTC)",453.7225973672
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2050,"Vint_2050","CO2 (MTC)",434.03846368024
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2055,"Vint_2055","CO2 (MTC)",416.79684960206
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2060,"Vint_2060","CO2 (MTC)",400.364962707349
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2065,"Vint_2065","CO2 (MTC)",385.272792313358
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2070,"Vint_2070","CO2 (MTC)",374.02118311528
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2075,"Vint_2075","CO2 (MTC)",360.040573620614
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2080,"Vint_2080","CO2 (MTC)",338.825569812621
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2085,"Vint_2085","CO2 (MTC)",325.292097378574
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2090,"Vint_2090","CO2 (MTC)",311.707217586312
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2095,"Vint_2095","CO2 (MTC)",299.021625357187
"Reference","Global","Global","emissCO2BySector","classLabel2","class2","Year",2100,"Vint_2100","CO2 (MTC)",285.699932647952
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2010,"vint_2010","CO2 (GTC)",0.495092226738
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2011,"vint_2011","CO2 (GTC)",0.992510658542969
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2012,"vint_2012","CO2 (GTC)",1.49341839794839
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2013,"vint_2013","CO2 (GTC)",1.99781544495427
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2014,"vint_2014","CO2 (GTC)",2.5057017995606
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2015,"vint_2015","CO2 (GTC)",3.0159143592339
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2016,"vint_2016","CO2 (GTC)",3.52563848956946
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2017,"vint_2017","CO2 (GTC)",4.03462997589842
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2018,"vint_2018","CO2 (GTC)",4.54288881822076
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2019,"vint_2019","CO2 (GTC)",5.0504150165365
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2020,"vint_2020","CO2 (GTC)",5.5574527855145
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2021,"vint_2021","CO2 (GTC)",6.06267407619882
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2022,"vint_2022","CO2 (GTC)",6.56517064944264
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2023,"vint_2023","CO2 (GTC)",7.06494250524593
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2024,"vint_2024","CO2 (GTC)",7.56198964360872
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2025,"vint_2025","CO2 (GTC)",8.07042759053942
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2026,"vint_2026","CO2 (GTC)",8.56511356309231
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2027,"vint_2027","CO2 (GTC)",9.05362450215975
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2028,"vint_2028","CO2 (GTC)",9.53596040774172
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2029,"vint_2029","CO2 (GTC)",10.0121212798382
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2030,"vint_2030","CO2 (GTC)",10.5153168569957
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2031,"vint_2031","CO2 (GTC)",10.9936700463651
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2032,"vint_2032","CO2 (GTC)",11.4630239086019
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2033,"vint_2033","CO2 (GTC)",11.9233784437062
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2034,"vint_2034","CO2 (GTC)",12.3747336516778
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2035,"vint_2035","CO2 (GTC)",12.8645865510958
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2036,"vint_2036","CO2 (GTC)",13.3176239229172
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2037,"vint_2037","CO2 (GTC)",13.7608616828297
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2038,"vint_2038","CO2 (GTC)",14.1942998308335
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2039,"vint_2039","CO2 (GTC)",14.6179383669285
"Reference","Global","Global","emissCO2CumGlobal2010to2100","classLabel2","class2","year",2040,"vint_2040","CO2 (GTC)",15.0899446359327
