"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",1975,"Vint_1975","CO2 (MTC)",9.72984788
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",1990,"Vint_1990","CO2 (MTC)",72.647032411452
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2005,"Vint_2005","CO2 (MTC)",144.6825385844
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2010,"Vint_2010","CO2 (MTC)",169.797675674
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2015,"Vint_2015","CO2 (MTC)",181.4747812793
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2020,"Vint_2020","CO2 (MTC)",191.0771569225
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2025,"Vint_2025","CO2 (MTC)",170.617924284523
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2030,"Vint_2030","CO2 (MTC)",136.656657060892
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2035,"Vint_2035","CO2 (MTC)",102.904661608897
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2040,"Vint_2040","CO2 (MTC)",68.2007543156718
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2045,"Vint_2045","CO2 (MTC)",24.6019609220053
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2050,"Vint_2050","CO2 (MTC)",-2.57714028779598
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2055,"Vint_2055","CO2 (MTC)",-6.049527409072
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2060,"Vint_2060","CO2 (MTC)",-6.0651582598029
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2065,"Vint_2065","CO2 (MTC)",-8.76360597178769
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2070,"Vint_2070","CO2 (MTC)",-9.73167049565626
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2075,"Vint_2075","CO2 (MTC)",-9.74145999129244
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2080,"Vint_2080","CO2 (MTC)",-9.2200597734597
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2085,"Vint_2085","CO2 (MTC)",-8.54161224828415
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2090,"Vint_2090","CO2 (MTC)",-8.12562466645594
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2095,"Vint_2095","CO2 (MTC)",-7.9895900962063
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2BySector","Year",2100,"Vint_2100","CO2 (MTC)",-7.91405222584514
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2010,"vint_2010","CO2 (GTC)",0.169797675674
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2011,"vint_2011","CO2 (GTC)",0.34193077246906
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2012,"vint_2012","CO2 (GTC)",0.51639929038518
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2013,"vint_2013","CO2 (GTC)",0.69320322942236
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2014,"vint_2014","CO2 (GTC)",0.8723425895806
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2015,"vint_2015","CO2 (GTC)",1.0538173708599
"dac_ssp2_with_cstorage_revert","Global","Global","emissCO2CumGlobal2010to2100","year",2016,"vint_2016","CO2 (GTC)",1.23721262726784
