"전력수요","원자력","유연탄","무연탄","바이오가스","부생가스","소수력","수력","양수","매립가스","중유","태양광","폐기물","풍력","LNG","LPG","연료전지","경유","해양에너지","바이오매스","IGCC","바이오중유","기타"
64942,19801.59614,20648.61961,275.084752,46.411899,21.987878,52.974962,42.006667,786.187487,20.599213,114.071964,5.421083,117.426497,709.368796,17949.85741,39.839744,484.648144,0,0,554.207971,185.332,101.170048,70.790582
62593,19800.37141,20388.47312,278.730595,46.148465,22.411095,52.292313,42.014917,239.793783,20.721555,114.715062,1.849358,119.21743,690.171011,16438.24847,43.216096,484.8933,0,0,553.769543,235.33104,101.179008,71.08703
60905,19800.32776,20365.38723,276.932504,46.408393,22.537354,48.794418,42.032154,0.0483,20.774781,115.1133,1.226078,119.10924,699.105388,15029.8962,40.816832,484.925545,0,0,554.970371,238.34664,101.177216,71.040694
59889,19798.40984,20298.30731,275.579426,46.313306,22.719873,44.005635,42.015553,0,20.772397,114.67688,0.73417,120.664115,666.601598,14051.71369,37.220624,485.075876,0,61.221048,552.863967,238.60592,101.183936,70.422899
59638,19795.97617,20289.56329,275.375931,46.585862,22.678411,40.841085,41.986467,0,21.046917,115.31469,0.694968,121.113925,613.366167,13786.02172,33.687808,485.112767,0,146.600496,550.342585,239.09256,101.180576,71.277898
59936,19794.11069,20362.06998,276.956559,46.69857,22.572173,39.542444,42.009754,0,21.707478,115.662728,0.482036,121.84723,584.125522,14015.68219,36.881264,484.930229,0,171.44988,547.577081,241.1136,101.182816,70.901791
60193,19793.43996,20471.27684,275.393973,45.881218,22.489324,39.574098,41.979682,0,21.910035,115.64647,0.037488,120.848945,469.943273,14295.44816,36.881712,484.777331,0,153.566112,552.857901,239.06176,101.1752,71.52586
59982,19794.90213,20488.26435,274.459136,46.595034,22.879913,41.754751,42.232183,106.101665,21.749526,116.423136,2.233529,117.704855,447.463795,14070.6475,35.742448,484.855441,0,95.39796,555.212777,237.8208,101.176768,71.577088
59626,19795.96547,20224.85201,275.92725,45.267206,23.062141,45.045433,479.03453,177.326002,21.329955,116.116154,144.596483,119.454157,482.19069,13499.40576,39.028416,484.918607,0,19.81728,553.140666,238.1988,101.174752,71.645177
57904,19797.31139,19913.51625,277.599829,45.608782,22.845507,46.976708,503.090105,0,20.909583,116.633028,598.289362,120.161363,512.59355,12867.0903,36.24544,484.9363,0,0,547.775406,239.11776,101.183936,71.600055
57604,19797.3665,19610.41918,274.426545,45.265266,22.691392,46.473375,552.429162,0,20.242764,117.54181,772.270638,120.716973,603.59115,13019.06882,29.172976,484.806682,0,0,549.057088,238.95536,101.179904,71.628849
56869,19799.33987,18978.72442,275.201147,44.834031,22.441877,47.59075,534.797624,0,20.950672,117.803468,969.691053,122.984484,669.076079,12791.23691,25.354112,485.014251,0,0,549.622681,236.52608,101.182592,71.70756
56191,19801.65473,19013.50306,274.467866,44.807093,22.188475,50.088663,200.403982,0,21.591236,118.069188,986.430299,124.18393,659.03829,12872.74809,23.866528,484.843419,0,0,543.884381,237.54304,101.184384,71.781711
56424,19802.40163,18967.06903,274.98737,46.521734,21.602582,52.157575,346.992718,0.035127,21.859307,117.276058,878.313627,130.0788,622.619199,13100.81307,25.075456,484.58379,0,0,542.234247,239.79816,101.182144,71.754594
56691,19803.796,18972.92619,277.046182,46.314319,20.919597,47.461555,342.070974,0.050182,22.454268,117.126354,737.724769,136.649435,620.900919,13239.32346,25.74264,484.427091,0,0,546.590323,238.56392,101.185952,71.572414
58299,19809.64636,19029.64388,276.67896,46.146641,20.525099,43.005282,379.743459,0.301167,22.514618,116.6604,455.044815,136.193445,620.797507,13791.3017,28.613536,484.469106,0,121.454928,546.865923,237.1908,101.1864,70.910512
60425,19809.73993,18961.58999,275.076023,45.499803,20.035937,39.56806,294.894239,0,22.501506,117.74785,239.371585,139.101494,623.109092,15212.44267,31.633168,484.350063,0,206.855712,549.722679,237.19976,101.176544,71.066122
62931,19807.15792,19079.94539,275.819392,46.185881,19.313964,40.575215,301.874179,607.519089,22.486367,117.89984,467.961698,139.685129,579.828116,17101.20599,40.485312,483.974055,0,243.663336,544.501077,238.4004,101.222016,71.519134
64176,19808.34277,18934.63825,276.208923,46.383154,19.130659,39.154538,266.199612,1749.35388,22.470844,117.988072,546.630203,139.325144,501.945957,17314.71933,42.816144,484.090847,0,241.560984,541.43577,238.28056,120.407392,70.959677
63645,19808.3103,18786.86671,276.957723,46.513697,19.206078,40.803202,242.13564,1823.902562,22.454043,117.777152,459.621735,136.349357,414.546813,16991.42898,39.51864,483.810078,0,196.669872,544.872571,237.18464,120.811712,69.09745
62754,19807.29267,18532.45365,275.934039,45.777989,19.369789,44.521902,163.465655,1876.517688,21.918531,116.141126,298.6365,133.321219,378.164337,16563.9788,39.76448,483.201288,0,112.260624,542.444324,238.5348,119.389984,68.363116
61561,19806.24318,18639.07544,275.813184,45.995275,19.517106,48.485942,152.755731,1237.155881,21.922139,117.282522,115.813477,137.016746,377.368121,16159.32087,40.399072,482.778968,0,29.732808,538.96212,238.60816,101.68144,68.958491
61979,19805.32063,18943.32321,276.112316,45.754342,19.790127,50.113274,76.192068,1423.219927,21.922046,116.458416,33.219009,138.718043,395.784454,16265.30177,39.299008,482.852177,0,0,545.315626,239.81552,101.687712,69.436331
63055,19805.74644,19152.56201,275.416669,46.679128,20.00926,51.86988,41.353987,2004.44444,21.933162,116.663716,7.300684,137.62537,409.674304,16679.36761,40.633488,482.828966,0,0,545.676606,237.62816,101.691072,69.537641
60658,19805.04184,18986.01166,276.432011,46.16557,19.964648,52.467732,40.824824,739.244352,21.932456,117.054016,2.653977,134.049474,430.582649,15711.77842,41.247696,482.598725,0,0,543.752661,239.28744,101.691968,69.290541
58603,19803.07621,18955.61441,276.698747,47.806382,20.237067,52.872237,40.803964,3.84496,21.928443,116.782468,0.852064,132.706399,425.33454,15046.2431,41.116432,482.468885,0,0,543.744582,240.45448,101.697344,68.53461
57309,19803.6097,18931.52944,276.616495,48.144562,20.470048,51.543737,40.721458,0,21.723484,117.07258,0.742316,132.273111,434.191272,15157.97306,39.46656,482.640938,0,0,547.186471,240.9988,101.69936,68.93045
56663,19798.69067,18832.75573,276.162754,47.176686,20.696141,47.221081,40.722671,0,21.28569,117.2247,0.66193,133.649636,422.283823,14709.9747,38.574368,482.662016,0,0.821016,544.42308,239.0248,101.694432,68.940089
56733,19797.55963,18844.83566,276.340448,47.701478,20.452995,43.733494,40.748853,0,21.076722,116.571012,0.625632,134.825284,427.452301,14649.29014,41.338304,482.596165,0,110.093088,544.516126,237.65448,101.6904,69.176897
57327,19795.90192,18665.00808,278.490242,47.680763,20.311139,41.144542,40.746074,0.06264,21.075734,116.057226,0.34414,134.316197,481.441546,14918.62446,41.375712,482.525488,0,156.417744,547.126385,239.18384,101.692416,69.695311
58378,19795.92668,18649.13265,278.828947,46.685406,20.27279,39.714025,40.712061,0.128111,21.070376,114.93776,0.026717,135.450712,465.315826,15130.77395,42.005264,482.536708,0,163.31532,550.625492,238.64176,101.693536,69.934984
59285,19795.36302,18685.71687,277.575968,47.078579,20.664304,41.312785,40.832011,0.0345,21.011213,115.755938,2.090735,135.620632,437.501854,15314.2876,40.878656,482.548645,0,127.802472,550.970569,237.95352,101.711008,69.979491
60669,19795.87468,18820.49635,277.045407,47.314879,71.601452,45.392156,329.36557,741.779726,20.759944,116.862108,126.94746,134.935539,408.196204,15552.36188,44.376416,482.605967,0,56.18676,546.856586,237.93784,101.898048,69.791723
59515,19797.486,18709.6869,276.509413,47.668009,269.41537,49.668013,489.943445,633.391461,20.340768,116.798586,630.545075,135.954337,410.132932,14294.24016,39.031104,482.172918,0,2.817024,547.903658,239.48064,101.894464,69.359583
58770,19799.49551,18780.70771,276.506698,48.494409,265.275331,51.17053,535.234006,216.614891,20.130038,117.630614,965.032504,135.122011,438.244456,13408.77969,34.61248,482.096364,0,0,541.200075,239.5932,101.891552,69.54744
57296,19800.03095,18631.80182,276.767031,47.914573,283.076406,51.726673,526.373824,0,19.947646,116.643652,1323.888642,136.383736,485.854332,12685.42963,37.494576,481.936851,0,0,540.995043,238.7,101.894464,68.200537
55466,19800.43309,18546.8098,277.352299,47.48767,325.734001,51.264682,113.854738,0,20.01764,115.698984,1554.085818,137.458088,554.234312,12638.29185,34.226192,481.93601,0,0,541.192577,238.94696,101.893568,67.425863
55066,19800.99238,18722.51686,277.473542,47.136726,292.310159,51.641721,62.408076,0.050182,20.785904,115.561552,1658.805494,136.150136,573.531397,12654.16501,32.242336,482.245483,0,0,542.659794,239.78696,98.888608,67.807493
55493,19801.65973,18746.73341,277.495074,48.317695,327.066929,49.641355,312.875207,0.0855,20.951406,114.692174,1681.964391,137.477781,571.222574,12470.81478,29.89336,482.58939,0,0,545.031669,240.95232,100.230368,68.644614
57865,19805.50259,18770.04215,277.665592,46.670779,331.176759,43.760917,400.402896,0.319505,21.016085,113.945976,1306.165017,136.862314,611.630309,12995.42009,28.169568,482.485498,0,19.345368,538.823732,241.16848,102.002208,68.790329
61407,19804.84919,18886.39717,277.967828,46.344551,262.398067,42.708994,425.346868,1006.697984,21.044746,110.565706,522.465356,135.352793,627.934526,14616.23942,28.179536,482.534767,0,151.433184,540.759786,238.08232,101.996832,69.084944
